i,j,G
0,0,+0.2374434505-0.0000602645j
0,1,+0.5713108833-0.1280442681j
0,2,+0.0000000051-0.0000000000j
0,3,+0.0000000051-0.0000000000j
0,4,+0.0000000051-0.0000000000j
1,0,+0.0062229593-0.0000161936j
1,1,+190.0575178243-42.5148915704j
1,2,+0.0000009343-0.0000000004j
1,3,+0.0000009343-0.0000000004j
1,4,+0.0000009343-0.0000000004j
2,0,-0.0000001245+0.0000000003j
2,1,+0.0000052608-0.0000011804j
2,2,+0.2422575378-0.0016357660j
2,3,-0.0000001778+0.0000000001j
2,4,-0.0000001778+0.0000000001j
3,0,-0.0000001234+0.0000000003j
3,1,+0.0000052472-0.0000011773j
3,2,-0.0000001773+0.0000000001j
3,3,+0.2422597745-0.0016357805j
3,4,-0.0000001773+0.0000000001j
4,0,-0.0000001226+0.0000000003j
4,1,+0.0000052311-0.0000011737j
4,2,-0.0000001768+0.0000000001j
4,3,-0.0000001768+0.0000000001j
4,4,+0.2422620108-0.0016357949j
