i,j,G
0,0,+0.2437405137-0.0000660903j
0,1,-0.0297928256-0.0003004565j
0,2,+0.0000000053-0.0000000000j
0,3,+0.0000000053-0.0000000000j
0,4,+0.0000000053-0.0000000000j
1,0,+0.0083001159-0.0000266213j
1,1,-9.3751143272-0.0985016447j
1,2,+0.0000009754-0.0000000004j
1,3,+0.0000009754-0.0000000004j
1,4,+0.0000009754-0.0000000004j
2,0,-0.0000001647+0.0000000005j
2,1,-0.0000001842+0.0000000001j
2,2,+0.7456337710-0.0155022140j
2,3,-0.0000001856+0.0000000001j
2,4,-0.0000001856+0.0000000001j
3,0,-0.0000001633+0.0000000005j
3,1,-0.0000001836+0.0000000001j
3,2,-0.0000001851+0.0000000001j
3,3,+0.7456404542-0.0155023508j
3,4,-0.0000001851+0.0000000001j
4,0,-0.0000001623+0.0000000005j
4,1,-0.0000001830+0.0000000001j
4,2,-0.0000001845+0.0000000001j
4,3,-0.0000001845+0.0000000001j
4,4,+0.7456471370-0.0155024877j
