i,j,G
0,0,-0.0002075211-0.0000012912j
0,1,+0.0091372198+0.0000439498j
0,2,+0.0000000177-0.0000000002j
0,3,+0.0000000059-0.0000000001j
0,4,+0.0000000177-0.0000000002j
1,0,+0.0117308813+0.0000732082j
1,1,-0.5176313478-0.0024907126j
1,2,-0.0000010234+0.0000000131j
1,3,-0.0000003154+0.0000000029j
1,4,-0.0000010234+0.0000000131j
2,0,+0.0000006305+0.0000000002j
2,1,+0.0000019296+0.0000000106j
2,2,+10.5584776981-0.1811578247j
2,3,-0.0000000000-0.0000000000j
2,4,+0.0000000000+0.0000000000j
3,0,+0.0000006030+0.0000000002j
3,1,+0.0000013062+0.0000000072j
3,2,-0.0000003739+0.0000000048j
3,3,+12.8563330461-0.2131762486j
3,4,-0.0000003739+0.0000000048j
4,0,+0.0000005857+0.0000000002j
4,1,+0.0000007865+0.0000000043j
4,2,-0.0000000000-0.0000000000j
4,3,-0.0000000000-0.0000000000j
4,4,+15.4399435323-0.2473343936j
