i,j,G
0,0,-0.0000926563-0.0000002555j
0,1,+0.0046580019+0.0000114135j
0,2,-0.0000000046-0.0000000000j
0,3,-0.0000000043-0.0000000000j
0,4,-0.0000000046-0.0000000000j
1,0,+0.0052192260+0.0000144806j
1,1,-0.2637908048-0.0006467882j
1,2,+0.0000002670+0.0000000026j
1,3,+0.0000002482+0.0000000025j
1,4,+0.0000002670+0.0000000026j
2,0,+0.0000005968+0.0000000002j
2,1,+0.0000008623+0.0000000027j
2,2,-5.5226979789-0.0376961346j
2,3,+0.0000000001+0.0000000000j
2,4,-0.0000000000+0.0000000000j
3,0,+0.0000005699+0.0000000002j
3,1,+0.0000005837+0.0000000018j
3,2,+0.0000000976+0.0000000009j
3,3,-6.2554239562-0.0441351056j
3,4,+0.0000000976+0.0000000009j
4,0,+0.0000005530+0.0000000002j
4,1,+0.0000003515+0.0000000011j
4,2,+0.0000000000-0.0000000000j
4,3,+0.0000000001+0.0000000000j
4,4,-7.0074185567-0.0509353828j
